weight,value
3,62
11,148
37,147
37,183
40,259
41,147
44,82
51,210
60,178
60,117
65,142
79,167
80,111
86,136
104,239
109,281
112,201
117,226
121,286
122,273
146,348
154,263
180,347
190,335
202,224
229,450
244,446
271,489
279,456
284,417
289,422
304,342
309,524
338,512
346,378
363,455
380,483
385,521
387,501
399,571
401,452
407,642
408,453
410,524
432,554
457,617
460,610
468,516
476,504
488,670
513,680
518,735
526,609
538,564
548,652
549,586
549,729
557,679
567,792
572,607
575,794
580,739
608,655
609,844
636,865
641,877
654,783
661,704
666,757
673,910
675,901
677,719
678,729
681,905
704,833
728,952
729,773
737,888
745,796
753,917
762,941
779,941
791,827
796,930
797,892
798,1007
812,1040
823,996
824,844
835,1017
865,1046
868,1051
877,1040
886,961
890,906
893,954
922,958
933,1081
936,1011
941,1099
953,1114
957,1092
985,1115
1021,1082
1023,1197
1026,1176
1027,1261
1037,1073
1044,1199
1053,1098
1063,1177
1064,1273
1085,1290
1092,1232
1092,1325
1102,1195
1107,1318
1131,1336
1138,1172
1151,1368
1152,1307
1158,1234
1159,1326
1162,1289
1174,1312
1175,1389
1192,1258
1195,1348
1216,1285
1224,1354
1227,1455
1238,1415
1258,1472
1261,1282
1267,1464
1278,1361
1280,1516
1289,1321
1294,1381
1309,1343
1314,1534
1337,1444
1340,1518
1366,1543
1370,1524
1403,1470
1405,1576
1420,1447
1421,1659
1435,1496
