weight,value
16,255
22,148
33,124
38,68
48,153
69,102
77,269
77,130
85,264
99,130
106,331
118,191
120,331
120,360
125,239
125,178
130,198
131,244
131,352
147,194
182,336
185,345
196,217
201,271
202,372
207,355
207,337
215,235
227,456
241,418
242,437
246,344
247,385
251,423
265,318
276,499
278,303
301,332
306,358
310,471
318,418
318,531
327,474
329,492
331,455
349,376
376,611
381,467
381,408
385,557
390,550
390,496
393,534
393,632
407,562
408,541
411,617
416,520
418,640
432,564
454,550
478,549
484,633
487,535
507,664
534,651
539,567
541,760
543,651
551,674
552,750
561,604
566,656
570,671
610,771
614,707
620,673
621,715
621,663
623,760
639,795
640,794
652,701
654,767
656,851
658,703
662,801
666,775
683,914
683,798
687,890
692,929
695,769
696,855
703,791
712,885
720,811
737,850
737,962
751,949
757,869
760,851
760,991
765,823
766,954
768,855
775,998
793,885
795,1030
795,935
807,936
814,1004
816,994
817,845
822,1013
823,1005
829,858
841,1047
842,956
854,1094
870,1096
878,1065
881,977
885,1104
886,952
888,925
894,917
896,1023
897,937
901,1117
904,940
916,1081
918,941
922,1018
945,1105
947,1185
954,1126
955,1117
957,984
975,1071
976,1166
976,1145
990,1196
1006,1156
1017,1148
1026,1176
1030,1147
1032,1248
1035,1261
1037,1065
1047,1148
1058,1169
1077,1257
1081,1156
1084,1194
1088,1308
1090,1159
1100,1280
1130,1293
1130,1264
1139,1228
1148,1202
1149,1370
1150,1374
1150,1263
1170,1296
1172,1323
1175,1269
1187,1312
1212,1399
1215,1431
1215,1259
1227,1442
1235,1422
1278,1328
1280,1418
1299,1530
1309,1344
1318,1381
1323,1380
1327,1450
1331,1459
1339,1440
1349,1529
1358,1521
1358,1571
1362,1578
1370,1557
1376,1500
1376,1437
1376,1544
1378,1394
1380,1430
1392,1514
1396,1463
1403,1447
1414,1648
1422,1448
1429,1505
1432,1583
